date,category,amount,payment_method
2024-04-12,Entertainment,370,Cash
2024-06-28,Entertainment,1392,Cash
2024-04-02,Entertainment,2426,UPI
2024-01-15,Shopping,2882,Cash
2024-04-16,Bills,2874,Cash
2024-03-12,Travel,2044,Card
2024-07-07,Shopping,3008,Cash
2024-01-21,Entertainment,2088,Card
2024-04-12,Food,3540,UPI
2024-05-01,Entertainment,3727,Cash
2024-03-15,Bills,1168,UPI
2024-03-28,Entertainment,1654,UPI
2024-04-26,Food,4077,Cash
2024-04-09,Bills,285,Cash
2024-04-13,Entertainment,2019,UPI
2024-05-31,Bills,4479,Cash
2024-05-10,Travel,1958,Card
2024-05-29,Travel,425,Card
2024-02-22,Entertainment,3580,Cash
2024-01-02,Bills,2685,UPI
2024-03-28,Food,1620,Cash
2024-06-06,Entertainment,2610,Cash
2024-02-07,Travel,3441,UPI
2024-05-09,Travel,3015,UPI
2024-07-10,Entertainment,3693,Card
2024-07-06,Bills,3900,UPI
2024-01-21,Travel,922,Card
2024-06-09,Bills,1302,UPI
2024-02-27,Travel,1364,Cash
2024-01-22,Travel,4870,Card
2024-03-29,Shopping,2948,Card
2024-02-18,Travel,127,Card
2024-02-28,Food,2671,Cash
2024-06-18,Entertainment,4277,Cash
2024-07-06,Entertainment,650,Cash
2024-01-15,Bills,1115,Cash
2024-07-08,Travel,2186,Cash
2024-07-08,Food,2499,Card
2024-06-23,Bills,2393,Cash
2024-07-08,Shopping,1913,Card
2024-02-20,Bills,1368,Cash
2024-04-17,Bills,4761,UPI
2024-02-24,Travel,3647,Card
2024-03-04,Shopping,3812,UPI
2024-05-10,Bills,4720,Card
2024-02-20,Food,2240,UPI
2024-05-14,Food,1042,Cash
2024-01-21,Entertainment,2762,Cash
2024-03-13,Shopping,2242,Cash
2024-06-15,Shopping,1298,Card
2024-01-18,Entertainment,3104,UPI
2024-05-11,Bills,4648,Cash
2024-03-29,Shopping,4083,UPI
2024-02-29,Food,2047,UPI
2024-01-14,Food,4966,Cash
2024-01-09,Travel,3737,Cash
2024-03-30,Shopping,2201,UPI
2024-02-22,Bills,4068,Cash
2024-05-09,Entertainment,3160,Cash
2024-03-24,Entertainment,2020,Cash
2024-04-01,Bills,247,Card
2024-04-20,Travel,2676,UPI
2024-07-06,Entertainment,1252,UPI
2024-07-17,Shopping,2085,Card
2024-06-20,Travel,527,UPI
2024-01-08,Shopping,1304,Cash
2024-06-23,Food,972,UPI
2024-02-04,Travel,469,Cash
2024-03-21,Entertainment,2254,Card
2024-06-12,Travel,2647,Cash
2024-02-19,Travel,1170,UPI
2024-04-13,Travel,3118,UPI
2024-05-11,Travel,1000,UPI
2024-01-02,Shopping,2386,Card
2024-05-13,Food,2293,Card
2024-02-23,Bills,2695,UPI
2024-04-15,Travel,1907,Cash
2024-01-04,Entertainment,4662,Card
2024-02-23,Travel,1915,UPI
2024-07-09,Entertainment,2962,UPI
2024-05-25,Shopping,2903,Card
2024-02-13,Entertainment,4960,Card
2024-06-10,Bills,3278,Card
2024-07-08,Food,3769,Cash
2024-01-14,Entertainment,3278,Cash
2024-04-04,Entertainment,2421,UPI
2024-02-17,Food,2941,Card
2024-01-15,Bills,3806,Cash
2024-07-18,Travel,4275,Card
2024-07-08,Entertainment,144,UPI
2024-02-09,Food,2724,Cash
2024-03-22,Shopping,2005,Cash
2024-04-20,Food,843,Cash
2024-02-22,Shopping,1884,UPI
2024-01-24,Bills,2166,Card
2024-06-02,Travel,4156,Cash
2024-07-06,Food,3375,UPI
2024-05-03,Entertainment,2969,Card
2024-02-10,Bills,2647,UPI
2024-06-05,Food,3255,Card
2024-01-15,Entertainment,4857,UPI
2024-02-14,Food,864,Card
2024-03-05,Shopping,395,Cash
2024-03-29,Food,2399,Card
2024-03-11,Food,412,UPI
2024-01-09,Food,2493,UPI
2024-03-28,Bills,2315,Card
2024-05-08,Food,2238,Cash
2024-05-15,Entertainment,3055,Cash
2024-03-03,Shopping,3331,Card
2024-05-18,Shopping,1034,Card
2024-03-21,Food,1689,UPI
2024-05-15,Bills,877,Cash
2024-06-11,Bills,2780,Card
2024-06-11,Entertainment,3581,Cash
2024-02-02,Food,4501,Card
2024-05-02,Shopping,2985,Card
2024-01-05,Bills,3926,Cash
2024-02-10,Food,176,Card
2024-01-28,Bills,3227,Card
2024-05-14,Bills,3106,UPI
2024-03-12,Shopping,653,Card
2024-01-12,Travel,3499,Card
2024-06-10,Entertainment,4196,Card
2024-02-02,Entertainment,3583,UPI
2024-02-17,Shopping,3417,Cash
2024-05-30,Bills,3418,UPI
2024-03-02,Food,3847,UPI
2024-02-06,Bills,1842,Cash
2024-04-08,Shopping,2911,UPI
2024-06-20,Entertainment,3526,Cash
2024-04-13,Bills,3467,UPI
2024-02-04,Entertainment,1695,Cash
2024-07-11,Food,1255,Card
2024-04-10,Entertainment,3080,UPI
2024-06-23,Entertainment,2922,UPI
2024-05-10,Travel,3122,UPI
2024-01-01,Travel,1904,UPI
2024-01-05,Travel,4071,Card
2024-05-21,Entertainment,4712,UPI
2024-04-12,Shopping,2758,Card
2024-01-27,Entertainment,3552,Card
2024-05-16,Shopping,1382,Card
2024-01-15,Shopping,251,Card
2024-03-30,Travel,3557,Cash
2024-02-11,Bills,4262,Cash
2024-05-03,Food,624,UPI
2024-06-27,Travel,586,Cash
2024-03-03,Travel,1675,Cash
2024-04-05,Bills,2172,UPI
2024-02-21,Food,435,UPI
2024-04-05,Entertainment,3331,UPI
2024-05-11,Entertainment,524,Cash
2024-05-30,Travel,467,Cash
2024-05-22,Food,3650,UPI
2024-06-19,Travel,1004,Card
2024-01-29,Shopping,4908,UPI
2024-02-05,Travel,1255,Card
2024-01-13,Travel,4809,Card
2024-06-08,Entertainment,4170,UPI
2024-03-11,Entertainment,2040,UPI
2024-07-05,Entertainment,4855,UPI
2024-03-26,Shopping,3622,Cash
2024-01-28,Entertainment,4430,Card
2024-03-06,Food,4208,Cash
2024-06-18,Bills,4807,Cash
2024-02-14,Food,2763,UPI
2024-03-02,Food,2253,Cash
2024-07-03,Entertainment,3170,UPI
2024-05-13,Bills,1016,Card
2024-01-28,Bills,4994,UPI
2024-01-28,Bills,3482,Cash
2024-04-17,Shopping,738,Cash
2024-02-13,Entertainment,4293,UPI
2024-03-24,Bills,3751,UPI
2024-01-30,Shopping,391,Cash
2024-07-08,Travel,1774,Card
2024-03-15,Travel,4472,Card
2024-05-07,Shopping,1842,UPI
2024-04-01,Shopping,1809,Card
2024-07-08,Entertainment,3262,Cash
2024-05-08,Entertainment,1039,UPI
