Date,Category,Amount,Payment_Method
2026-03-30,Transportation,207.77,Credit Card
2025-05-12,Transportation,214.43,Cash
2025-06-08,Shopping,56.72,Debit Card
2025-07-18,Shopping,20.18,Credit Card
2025-11-17,Healthcare,27.28,UPI
2025-06-12,Entertainment,158.04,Credit Card
2025-10-24,Utilities,98.4,Cash
2025-06-20,Entertainment,59.88,Cash
2026-01-30,Shopping,29.78,Debit Card
2025-05-02,Rent/Mortgage,1040.31,Credit Card
2026-03-01,Entertainment,203.91,Cash
2025-11-03,Food & Dining,106.24,Debit Card
2025-09-02,Utilities,94.36,Cash
2025-11-25,Food & Dining,40.56,Credit Card
2026-01-26,Rent/Mortgage,619.89,Credit Card
2025-11-20,Transportation,114.96,Debit Card
2025-09-27,Shopping,94.73,Credit Card
2026-02-18,Healthcare,139.26,Cash
2025-06-30,Utilities,244.16,UPI
2025-10-30,Entertainment,299.4,Credit Card
2026-04-07,Food & Dining,137.54,Debit Card
2026-03-03,Healthcare,287.64,Debit Card
2026-02-26,Utilities,116.27,Credit Card
2026-02-09,Utilities,124.87,Debit Card
2025-12-20,Food & Dining,79.09,UPI
2025-06-10,Entertainment,243.1,UPI
2025-11-02,Rent/Mortgage,1446.4,Credit Card
2025-07-24,Transportation,298.8,UPI
2025-07-23,Entertainment,38.19,Cash
2026-02-15,Utilities,102.53,Debit Card
2026-02-12,Entertainment,64.33,Debit Card
2025-12-15,Shopping,63.99,UPI
2025-06-25,Utilities,28.32,Debit Card
2026-03-07,Rent/Mortgage,1292.11,Debit Card
2025-08-21,Rent/Mortgage,1364.61,Debit Card
2026-02-28,Healthcare,236.34,Cash
2025-09-09,Healthcare,116.26,Credit Card
2025-05-21,Utilities,33.51,Debit Card
2025-11-26,Food & Dining,26.27,Cash
2025-09-30,Shopping,94.75,Debit Card
2026-01-07,Utilities,159.9,Cash
2025-04-29,Entertainment,134.03,Debit Card
2025-05-12,Rent/Mortgage,753.79,Credit Card
2025-06-05,Shopping,41.05,Debit Card
2026-01-05,Transportation,209.44,UPI
2026-02-15,Entertainment,244.67,UPI
2025-10-08,Food & Dining,59.97,Cash
2025-08-20,Transportation,76.34,Credit Card
2025-07-22,Utilities,50.51,Credit Card
2025-11-17,Healthcare,22.46,Credit Card
2026-02-17,Entertainment,119.25,Credit Card
2025-06-07,Utilities,35.99,Debit Card
2025-10-14,Food & Dining,40.05,Debit Card
2026-04-15,Utilities,158.5,Debit Card
2025-09-15,Entertainment,100.59,Cash
2026-04-03,Utilities,28.52,UPI
2025-09-06,Transportation,182.8,Credit Card
2025-08-30,Entertainment,137.44,Debit Card
2025-08-05,Transportation,242.67,UPI
2026-02-15,Transportation,97.95,UPI
2026-01-18,Healthcare,216.17,UPI
2025-07-11,Transportation,162.48,Debit Card
2025-10-18,Utilities,101.32,Credit Card
2025-12-05,Shopping,74.73,Credit Card
2026-02-17,Utilities,62.43,Credit Card
2026-03-31,Rent/Mortgage,538.68,Credit Card
2026-03-06,Entertainment,208.78,UPI
2025-07-10,Entertainment,232.66,Credit Card
2026-01-27,Entertainment,292.71,Cash
2025-06-17,Utilities,92.31,Debit Card
2026-03-17,Healthcare,112.15,Debit Card
2026-02-21,Rent/Mortgage,1081.25,Cash
2025-06-16,Utilities,71.25,Debit Card
2025-11-22,Food & Dining,98.76,Debit Card
2025-12-14,Food & Dining,53.93,Debit Card
2026-02-25,Healthcare,25.78,Debit Card
2025-07-15,Healthcare,159.61,Credit Card
2025-12-22,Healthcare,227.41,Debit Card
2025-05-26,Food & Dining,122.55,UPI
2026-01-10,Rent/Mortgage,722.04,Cash
2025-08-26,Utilities,90.26,Debit Card
2026-03-19,Entertainment,79.15,Credit Card
2025-08-25,Healthcare,209.26,Credit Card
2025-05-27,Utilities,124.94,Credit Card
2025-07-03,Rent/Mortgage,1253.42,Credit Card
2025-07-11,Rent/Mortgage,708.14,Credit Card
2026-02-21,Rent/Mortgage,535.8,UPI
2025-05-26,Transportation,241.52,UPI
2025-06-23,Food & Dining,43.88,Cash
2025-08-21,Transportation,41.32,Debit Card
2026-04-06,Transportation,114.05,Cash
2025-05-11,Transportation,277.1,UPI
2025-08-11,Transportation,215.58,UPI
2026-01-24,Healthcare,240.7,Cash
2025-07-21,Shopping,107.46,Credit Card
2025-05-18,Entertainment,29.48,Debit Card
2025-07-18,Shopping,66.63,Credit Card
2025-06-18,Rent/Mortgage,984.58,Cash
2026-03-04,Shopping,14.34,Debit Card
2025-07-05,Shopping,13.02,Debit Card
2026-01-20,Food & Dining,15.57,UPI
2025-09-23,Food & Dining,77.21,Debit Card
2026-01-04,Food & Dining,11.76,Cash
2026-04-09,Rent/Mortgage,862.15,Cash
2025-04-29,Food & Dining,65.01,UPI
2025-09-06,Transportation,83.24,Debit Card
2025-07-12,Entertainment,85.63,UPI
2025-11-23,Shopping,128.84,Cash
2025-08-26,Entertainment,76.05,Debit Card
2025-10-25,Entertainment,182.82,Debit Card
2025-11-08,Food & Dining,58.29,Credit Card
2026-03-07,Shopping,127.2,Debit Card
2026-04-11,Utilities,45.76,Cash
